asv_id	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV01596	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	
ASV01599	Fungi	Basidiomycota	Cystobasidiomycetes	Erythrobasidiales	Erythrobasidiaceae	Erythrobasidium	
ASV01601	Fungi	Ascomycota					
ASV01606	Fungi	Ascomycota					
ASV01608	Fungi	Glomeromycota	Glomeromycetes	Entrophosporales	Entrophosporaceae	Claroideoglomus	
ASV01614	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Saksenaeaceae	Saksenaea	vasiformis
ASV01615	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Aporospora	
ASV01616	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Laburnicola	
ASV01618	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Comoclathris	arrhenatheri
ASV01619	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae		
ASV01620	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pseudombrophilaceae	Lasiobolidium	coprophilum
ASV01624	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Filobasidium	chernovii
ASV01625	Fungi	Basidiomycota	Cystobasidiomycetes				
ASV01626	Fungi	Ascomycota	Dothideomycetes	Pleosporales			
ASV01632	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae	Clitopilus	
ASV01641	Fungi	Ascomycota	Leotiomycetes	Helotiales	Erysiphaceae	Podosphaera	xanthii
ASV01643	Fungi	Ascomycota					
ASV01645	Fungi	Ascomycota	Leotiomycetes	Helotiales	Myxotrichaceae	Myxotrichum	deflexum
ASV01647	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales		Candida	haemuloni
ASV01648	Fungi	Ascomycota	Dothideomycetes	Myriangiales	Endosporiaceae	Endosporium	
ASV01649	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Comoclathris	italica
ASV01650	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma	tephrensis
ASV01653	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Rhizophagus	
ASV01656	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Paracamarosporium	
ASV01657	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Sebacinaceae	Sebacina	
ASV01660	Fungi						
ASV01661	Fungi	Ascomycota	Eurotiomycetes	Arachnomycetales	Arachnomycetaceae	Arachnomyces	
ASV01663	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactarius	
ASV01670	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae		
ASV01678	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales			
ASV01680	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Microsphaeropsidaceae		
ASV01682	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales			
ASV01683	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales			
ASV01684	Fungi	Ascomycota	Dothideomycetes	Dothideales	Saccotheciaceae	Selenophoma	linicola
ASV01685	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Neodevriesiaceae	Neodevriesia	
